rental_id,booked_price_per_day,month_booked
25313374733280,$222.31,7
13557825481920,$146.93,11
18214711249680,$183.85,9
20892146617200,$271.92,7
25286903262480,$127.84,6
32887293460080,$121.01,11
7105189008960,$336.86,6
27594230531280,$146.43,5
20976978446880,$194.02,June
1457039002080,$273.81,June
31736092288080,$161.78,12
16427825409120,$68.67,6
29706284531760,$177.10,8
25454473828800,$165.63,8
31091912124240,$109.86,9
24353137520400,$371.85,12
15380786396640,$236.50,8
27574407708960,$160.07,5
30174029264640,$210.65,July
12593648329200,$156.61,11
4816207085040,$197.06,7
14037390034320,$211.72,11
25381092449280,$135.58,8
15855056654880,$107.43,7
20776287761280,$192.30,5
22860146567280,$344.43,8
15417723332640,$172.99,7
28864614883440,$115.54,7
19676552053440,$173.21,5
5325444309360,$292.62,11
21959747190720,$225.73,8
28050278567760,$116.77,9
31230179388000,$164.04,11
29547332583840,$228.66,6
22687404829920,$163.66,11
30278807039760,$346.16,7
28637452727040,$226.06,11
29905743986160,$236.62,8
20087290781760,$146.98,6
27569975276640,$153.14,10
29055701965680,$124.96,6
21344993452560,$99.14,June
12997492162800,$151.25,11
23369876284080,$148.81,10
20507509990320,$566.42,9
20706107582880,$264.45,6
31157413624080,$158.00,9
28793572843200,$264.61,8
26588930256480,$254.35,7
22280729164560,$218.55,7
13168879545840,$133.38,7
4552600485120,$637.64,12
19988299793280,$161.80,7
19275047559120,$127.95,9
26886641960640,$240.70,6
29207389649520,$246.30,7
14466597230640,$299.65,5
4552600485120,$637.64,12
5999666514480,$186.96,8
29696680928400,$178.70,12
24066753143280,$290.22,7
23622155556960,$151.78,10
27729296593920,$225.50,8
22599002429760,$303.17,9
27608020320720,$224.18,6
22038545987520,$237.82,10
17400867426480,$152.05,6
31482458660880,$205.59,9
10581939671520,$270.57,8
26021578919520,$102.96,6
29123542804800,$127.39,7
26728798120800,$195.55,6
6954363186960,$238.00,7
26944263580800,$204.64,May
12486777461040,$188.02,9
21221500963200,$166.67,10
29260948206720,$211.41,7
4290594485760,$158.95,8
3755378283120,$146.02,8
28283596880160,$270.02,11
27870272566320,$243.56,5
29048437701600,$497.97,12
