rental_id,listing_state,vehicle_type,is_motorized,vehicle_make,vehicle_model,vehicle_year,vehicle_length,cancellation_policy,sleeps,is_festival_friendly,is_tailgate_friendly,is_pet_friendly,has_toilet,has_generator,has_inside_shower,has_refrigerator,has_wifi
206969964720,CA,trailer,FALSE,Airstream,Safari,2008,20 - 25,flexible,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
374663654160,CA,c,TRUE,Forest River,Sunseeker,2012,30 - 35,custom,9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
436102091040,CA,c,TRUE,forest river,Sunseeker,2011,30 - 35,strict,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
494831819280,MI,b,TRUE,Leisure Travel,Serenity,2015,25 - 30,strict,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
645780764400,KY,a,TRUE,Thor Motor Coach,Miramar,2016,35 - 40,moderate,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
698231213520,WA,a,TRUE,Forest River,Georgetown,2017,30 - 35,moderate,10,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
734183164560,VA,c,TRUE,Thor Motor Coach,Chateau,2004,20 - 25,moderate,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
904462439520,,c,TRUE,Jayco,Greyhawk,2016,30 - 35,moderate,10,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
910495472400,TN,c,TRUE,Winnebago,Other,2017,20 - 25,strict,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
911849826720,NC,c,TRUE,Winnebago,Avion View 23j,2006,25 - 30,moderate,5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
915174150960,TX,c,TRUE,Thor Motor Coach,Four Winds,2001,30 - 35,flexible,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
990033007920,HI,camper-van,TRUE,Chevrolet,2500 Express Van,2003,15 - 20,strict,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1004315289840,IL,b,TRUE,,,2008,15 - 20,moderate,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1054180153440,CA,c,TRUE,Winnebago,Spirit,2017,25 - 30,moderate,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1063414387440,CA,b,TRUE,Dodge,B2500 Van,1997,15 - 20,moderate,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1083360332880,NJ,c,TRUE,Coachmen,Prism,2009,25 - 30,strict,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1214240209440,MI,c,TRUE,Gulf Stream,Endura,2005,30 - 35,strict,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
